,CampusID,InstitutionID,MedianFamilyIncome,DebtNonCompleter,PredominantDegree,State,FirstGen,IndPerc,LoanPerc,MDEarning10,Control,NetPrice
1339,153834,187400,92719.48268,11000.0,3,IA,0.127420999,0.021317829500000003,0.7155,41800.0,2,23881.0
1340,153861,1111300,9657.049273999999,11900.0,3,IA,0.288209607,0.5753968254,0.7759999999999999,22800.0,2,17103.0
1341,153922,187500,28115.146080000002,6322.0,2,IA,0.45698924729999996,0.4570175439,0.4077,30200.0,1,10170.0
1342,153977,627300,40499.804,7500.0,2,IA,0.3307692308,0.5573065903,0.9388,46700.0,2,19435.0
1343,154004,187900,64715.11055,8750.0,3,IA,0.2567741935,0.10328068039999999,0.8341,40000.0,2,19714.0
1344,154013,188000,54401.50184,9500.0,3,IA,0.3363286264,0.4699519231,0.6931,42800.0,2,20029.0
1345,154022,188100,15934.7563,4750.0,3,CA,0.5614939102000001,0.957505217,0.7773,39100.0,3,18411.0
1346,154059,187700,34866.24679,5500.0,2,IA,0.40063694270000005,0.3545611015,0.4414,31600.0,1,8009.0
1347,154095,189000,71430.07779,9500.0,3,IA,0.24389189190000002,0.1226356267,0.626,42000.0,1,15008.0
1348,154101,188300,68541.83945,7500.0,3,IA,0.20236087690000001,0.0659163987,0.7217,37600.0,2,20989.0
1349,154110,458700,28422.356989999997,5500.0,2,IA,0.44689290439999996,0.4253879825,0.4106,30600.0,1,10661.0
1350,154129,460000,42908.62481,4846.0,2,IA,0.3675213675,0.3639947438,0.3322,37200.0,1,11165.0
1353,154174,1230000,17147.29838,6250.0,3,IA,,0.75,0.8545,40400.0,2,19166.0
1354,154208,2160900,27730.389,4750.0,1,IA,0.3974895397,0.45,0.3589,18400.0,3,14123.0
1355,154235,188900,73694.34363999999,8750.0,3,IA,0.2970225127,0.19073946100000003,0.8049,44900.0,2,22302.0
1356,154262,729100,41918.409060000005,4750.0,2,IA,0.35,0.4848484848,0.7565,46400.0,2,15426.0
1357,154332,2134500,22208.65899,5500.0,1,IA,0.4677419355,0.5466666667,0.7674,15800.0,3,14295.0
1358,154341,959300,35712.86963,4750.0,1,IA,,0.375,0.7083,23900.0,3,14613.0
1359,154350,188700,70339.38017,8250.0,3,IA,0.26269315670000004,0.1876332623,0.7611,43500.0,2,19933.0
1360,154378,184800,21739.094540000002,4112.5,2,IA,0.46158896909999997,0.5013989927,0.3547,26700.0,1,8148.0
1361,154396,185700,30301.036930000002,5250.0,2,IA,0.4355971897,0.3991596639,0.4983,30200.0,1,6775.0
1362,154448,771700,27052.554060000002,3698.0,1,IA,0.46798029560000004,0.5109170306,0.5755,19600.0,3,10900.0
1364,154466,761100,16690.52179,2660.0,1,IA,,0.5054945055,0.7158,18100.0,3,8465.0
